Company Name,Funded Date,Funded Amount,Fund Type,Company Linkedin Url,Website ,Industries,Founded Year
Khatabook,2021-08-24,7430000000.0,Series C,https://www.linkedin.com/company/khatabook,khatabook.com,"Accounting, Financial Services, Payments, SaaS",
Easyrewardz Software Services,2022-05-12,2000000.0,Series B,https://www.linkedin.com/company/easyrewardz,www.easyrewardz.com,"Information Services, Information Technology, SaaS,",
Netcore Cloud,,5000000.0,—,https://www.linkedin.com/company/netcore-cloud/,netcorecloud.com,"Cloud Infrastructure, Digital Marketing, Email Marketing, Marketing Automation",
Goals101,2021-09-18,5000000.0,Series A,https://www.linkedin.com/company/goals101/,www.goals101.ai,"Ad Targeting, Analytics, Artificial Intelligence (AI), Financial Services",
Alchemyst AI,2024-10-16,300000.0,Pre-Seed,https://www.linkedin.com/company/alchemystai,getalchemystai.com/,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Internet",
BizzO,2022-05-05,150000000.0,Seed,https://www.linkedin.com/company/bizzo-app/,bizzo.in/,"Analytics, Enterprise Applications, SaaS,",
Barberaa,2023-01-01,5000000.0,Seed,https://www.linkedin.com/company/barberaa,www.barberaa.com/,"Beauty, SaaS, Software,",
Whatmore,2023-10-25,650000.0,Pre-Seed,https://www.linkedin.com/company/whatmore/,www.whatmore.ai,"Generative AI, SaaS, ,",
6Degree,2022-06-28,800000.0,Venture - Series Unknown,http://www.linkedin.com/company/3852434,6degree.co,"E-Commerce, Retail, SaaS,",
Edmingle,2022-11-22,1000000.0,Seed,https://www.linkedin.com/company/edmingle,www.edmingle.com,"Information Technology, SaaS, Software, Training",
Eugenie AI,2023-04-02,5000000.0,Non-equity Assistance,https://www.linkedin.com/company/eugenie-ai/,eugenie.ai/,"Artificial Intelligence (AI), CleanTech, Energy Efficiency, GreenTech",
sysotel.ai,2023-09-08,8400000.0,Angel,https://www.linkedin.com/company/sysotel,sysotel.ai/,"Analytics, Artificial Intelligence (AI), Hospitality, Information Technology",
EquityList,2023-09-18,2200000.0,Seed,https://www.linkedin.com/company/equitylist,equitylist.co,"Finance, Financial Services, SaaS, Service Industry",
Biocube Technologies Inc.,2021-08-01,30000000.0,Series A,https://www.linkedin.com/company/biocube-technologies/,biocube.ai,"Analytics, Artificial Intelligence (AI), Big Data, Computer Vision",
LogicLadder,2024-06-03,2500000.0,Series A,https://www.linkedin.com/company/logicladder/,logicladder.com,"Energy, Information Technology, SaaS, Software",
Maximl Labs Private Limited,2018-10-24,1000000.0,Seed,https://www.linkedin.com/company/maximl/,maximl.com/,"Industrial Automation, Oil and Gas, SaaS,",
Devnagri,2024-07-24,5000000.0,Seed,https://www.linkedin.com/company/thedevnagri/,www.devnagri.com,"Artificial Intelligence (AI), Developer APIs, Machine Learning, Natural Language Processing",
vPhrase,2019-08-21,2000000.0,Series A,https://www.linkedin.com/company/6441996?trk=prof-exp-company-name,phrazor.ai/,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence",
CrelioHealth ( formerly LiveHealth ),2022-01-01,5000000.0,Venture - Series Unknown,http://www.linkedin.com/company/livehealth,creliohealth.com,"Health Care, Management Information Systems, SaaS, Software",
FloCareer,2021-10-11,5700000.0,Series A,https://www.linkedin.com/company/flocareer,www.flocareer.com/,"Human Resources, Information Technology, Internet, SaaS",
Glib.AI,2022-03-01,5000000.0,Venture - Series Unknown,https://in.linkedin.com/company/glib-dot-ai,www.glib.ai/,"B2B, Enterprise Software, Information Technology, Machine Learning",
